,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Physical exposure to earthquake MMI VI (absolute),Physical exposure to earthquake MMI VIII (absolute),Physical exposure to earthquake (absolute),Annual Expected Exposed People to River Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone's Wind (absolute),Physical exposure to coastal flood (absolute),People affected by droughts (absolute),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to earthquake (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to tropical cyclone wind (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Frequency of Drought events,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Physical exposure to tropical cyclone of Saffir-Simpson category 1,Physical exposure to tropical cyclone of Saffir-Simpson category 3,Physical exposure to tropical cyclone wind,People affected by droughts,Physical exposure to earthquake ,Physical exposure to river flood,Physical exposure to tsunami,Physical exposure to tropical cyclone,Physical exposure to coastal flood,People affected by droughts and Frequency of events,Agriculture Droughts probability,Droughts probability and historical impact,Population exposed to CCHF (absolute),Population exposed to CCHF (relative,Population exposed to CCHF (relative),Physical exposure to CCHF,Population exposed to EDV (absolute),Population exposed to EDV (relative),Population exposed to EDV (relative),Physical exposure to EDV,Population exposed to Lassa Fever (absolute),Population exposed to Lassa Fever (relative),Population exposed to Lassa Fever (relative),Physical exposure to Lassa Fever,Population exposed to MVD (absolute),Population exposed to MVD (relative),Population exposed to MVD (relative),Physical exposure to MVD,Physical exposure to zoonones,Populations at risk of malaria (absolute),Populations at risk of malaria (relative),Populations at risk of malaria (relative),Populations at risk of malaria,Population exposed to Zika (absolute),Population exposed to Zika (relative),Population exposed to Zika (relative),Population exposed to Zika,Population at Risk to Aedes (absolute),Population at Risk to Aedes (relative),Population at Risk to Aedes (relative),Population at Risk to Aedes,Population exposed to Dengue (absolute),Population exposed to Dengue (relative),Population exposed to Dengue (relative),Population exposed to Dengue,Physical exposure to vectorborne,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Household size,Population,P2P,Population living in slums (% of urban population),Children under 5,Population,People practicing open defecation,WaSH,Number of vets per capita,Number of vets,IHR capacity score: Food safety,Food,Waterborne - Foodborne,Physical exposure to epidemics,INFORM Natural Hazard,Projected Conflict Probability,Current Conflict Intensity,INFORM Human Hazard,,
Djibouti,DJI,4.6,0.1,2.6,0.0,3.5,0.0,0.0,0.0,3.7,8.8,0.20%,0.00%,0.0000%,0.00%,0.00%,0.00%,0.07%,2.79%,9.8,0.0,7.3,0.0,6.1,0.0,0.0,0.0,4.8,9.3,6.7,7.2,0.1,0.0,0.0,0.0,9.1,5.4,0.0,4.9,0.0,4.3,7.9,x,7.9,6.4,26.38%,2.9,4.9,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,1.5,7.1,75.0%,7.5,7.3,6.3,22.84%,2.5,4.7,7.2,88.49%,8.8,8.1,7.1,81.85%,8.2,7.7,7.1,3.7,4.0,x,3.9,5.6,3.2,7.9,9.7,6.6,5.7,5.4,3.2,5.8,5.3,4.3,0.01%,8.7,8.0,8.4,6.2,5.5,4.5,0.3,0.0,0.2,,
Dominica,DMA,1.1,0.1,0.6,0.0,2.0,4.9,6.4,5.7,0.0,0.0,0.18%,0.00%,0.0000%,0.00%,9.89%,1.52%,0.03%,0.00%,8.8,0.0,6.0,0.0,7.6,10.0,7.6,9.1,3.7,0.0,0.0,5.0,0.1,7.5,7.0,7.3,0.0,3.8,0.0,5.5,7.8,2.0,0.0,x,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,5.1,52.96%,5.9,5.5,5.3,65.39%,6.5,5.9,5.4,76.31%,7.6,6.6,4.9,2.2,0.8,x,1.5,6.6,1.7,7.2,x,5.2,4.0,x,0.3,4.0,1.9,1.6,x,x,x,x,2.8,4.0,3.8,0.0,0.0,0.0,,
Dominican Republic,DOM,7.6,8.9,8.3,3.0,5.0,9.9,10.0,10.0,5.4,0.0,0.21%,0.19%,0.0264%,0.00%,9.47%,2.63%,0.04%,0.00%,10.0,9.5,9.8,1.4,5.2,10.0,10.0,10.0,4.1,0.0,0.0,8.8,9.2,10.0,10.0,10.0,0.0,9.2,2.2,5.1,10.0,4.8,0.0,0.8,0.4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.3,55.1%,5.5,7.1,8.4,68.31%,7.6,8.0,8.5,78.97%,7.9,8.2,8.6,92.48%,9.2,8.9,8.1,1.3,0.5,5.2,2.3,7.9,3.3,8.4,2.7,5.6,4.5,1.2,2.5,4.3,0.6,1.9,0.01%,9.2,2.0,5.6,3.9,5.9,6.6,0.2,0.0,0.1,,
Ecuador,ECU,8.2,9.5,8.9,6.5,8.9,0.0,0.0,0.0,5.8,6.5,0.21%,0.20%,0.5303%,0.01%,0.00%,0.00%,0.04%,0.02%,10.0,10.0,10.0,6.4,9.1,0.0,0.0,0.0,3.9,0.1,2.9,9.1,9.8,0.0,0.0,0.0,4.0,9.5,6.5,9.0,0.0,4.9,3.5,3.3,3.4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.6,56.7%,5.7,7.4,8.5,45.89%,5.1,7.1,8.5,44.96%,4.5,7.0,8.6,59.89%,6.0,7.5,7.3,0.9,0.7,1.3,1.0,6.2,2.8,6.5,4.4,5.0,3.7,6.4,1.7,4.7,0.2,0.8,0.02%,8.1,2.0,5.1,3.5,5.1,6.4,5.5,4.4,5.0,,
Egypt,EGY,9.2,0.0,6.5,10.0,6.8,0.0,0.0,0.0,10.0,0.0,0.07%,0.00%,3.8318%,0.00%,0.00%,0.00%,0.42%,0.00%,3.6,0.0,2.0,9.7,4.7,0.0,0.0,0.0,7.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,4.6,9.9,5.9,0.0,9.0,0.0,4.2,2.1,9.1,22.01%,2.4,6.9,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,2.4,0.0,0.0%,0.0,0.0,5.6,0.08%,0.0,3.3,8.5,7.77%,0.8,5.9,8.2,4.98%,0.5,5.6,4.0,0.3,0.2,1.0,0.5,6.8,3.7,4.3,5.3,5.0,3.5,0.4,3.4,4.0,0.0,0.4,0.06%,4.0,2.0,3.0,2.5,3.1,6.2,6.5,2.2,4.7,,
El Salvador,SLV,6.9,8.3,7.7,3.6,7.0,4.1,0.0,2.3,4.7,9.1,0.21%,0.21%,0.0844%,0.00%,0.05%,0.00%,0.03%,0.66%,10.0,10.0,10.0,3.4,8.1,0.1,0.0,0.1,3.9,2.2,5.7,8.5,9.2,2.1,0.0,1.1,6.9,9.2,3.5,7.6,1.3,4.3,6.3,0.8,3.6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,8.3,97.19%,10.0,9.3,8.1,71.73%,7.2,7.7,8.3,97.20%,9.7,9.1,7.7,1.4,0.2,0.9,0.8,8.3,2.6,7.5,4.8,5.8,4.1,1.8,1.8,4.5,0.0,0.6,0.00%,9.8,0.0,4.9,3.3,5.4,5.6,0.9,0.0,0.5,,
Equatorial Guinea,GNQ,0.1,0.1,0.1,1.6,0.0,0.0,0.0,0.0,1.9,0.0,0.00%,0.00%,0.0436%,0.00%,0.00%,0.00%,0.01%,0.00%,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,2.0,0.0,5.8,2.9,2.9,0.06%,0.0,1.6,6.5,4.63%,9.3,8.2,0.0,0.00%,0.0,0.0,6.6,4.92%,7.4,7.0,5.1,7.5,100.0%,10.0,9.1,7.3,79.13%,8.8,8.1,7.5,95.69%,9.6,8.8,7.4,92.43%,9.2,8.4,8.6,3.7,5.9,x,4.8,5.9,5.9,7.4,x,6.4,5.9,7.2,5.7,6.4,1.0,3.5,0.00%,9.8,8.0,8.9,6.3,6.7,2.3,0.2,0.0,0.1,,
Eritrea,ERI,5.6,0.1,3.3,1.6,0.0,0.0,0.0,0.0,4.1,10.0,0.12%,0.00%,0.0188%,0.00%,0.00%,0.00%,0.03%,4.19%,6.2,0.0,3.7,0.9,0.0,0.0,0.0,0.0,3.9,10.0,2.9,5.9,0.1,0.0,0.0,0.0,10.0,3.5,1.3,0.0,0.0,4.0,6.5,6.7,6.6,7.5,47.69%,5.3,6.5,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,2.2,8.0,100.0%,10.0,9.3,6.8,16.31%,1.8,4.8,7.7,67.54%,6.8,7.3,7.3,35.85%,3.6,5.8,7.2,9.8,8.0,x,8.9,4.9,6.5,4.3,x,5.2,6.4,5.4,5.5,5.3,10.0,9.3,0.01%,9.0,4.0,6.5,7.0,6.0,3.5,0.8,0.0,0.4,,
Estonia,EST,0.1,0.1,0.1,4.0,0.0,0.0,0.0,0.0,1.9,0.0,0.00%,0.00%,0.6010%,0.00%,0.00%,0.00%,0.01%,0.00%,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,5.4,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.1,0.0,x,0.1,5.0,3.1,7.0,0.7,4.0,2.7,0.0,0.0,2.6,0.0,0.0,0.02%,7.8,2.0,4.9,2.5,1.4,1.5,0.1,0.0,0.1,,
Eswatini,SWZ,0.1,0.1,0.1,1.3,0.0,0.5,0.0,0.3,0.0,9.6,0.00%,0.00%,0.0450%,0.00%,0.01%,0.00%,0.00%,5.50%,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,10.0,4.8,0.1,0.1,0.3,0.0,0.2,9.8,0.1,1.8,0.0,0.2,0.0,7.3,2.5,4.9,4.2,0.69%,0.1,2.4,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,3.2,0.07%,3.7,3.5,1.6,6.5,28.0%,2.8,4.9,3.8,0.36%,0.0,2.1,7.0,63.61%,6.4,6.7,5.6,7.32%,0.7,3.5,4.5,4.0,4.4,7.6,5.3,6.1,3.3,2.5,5.1,4.3,4.6,1.9,4.3,3.9,0.1,4.0,0.06%,3.5,6.0,4.8,4.2,3.8,1.8,1.2,1.4,1.3,,
Ethiopia,ETH,9.2,0.1,6.5,6.5,0.0,0.0,0.0,0.0,0.0,10.0,0.07%,0.00%,0.0780%,0.00%,0.00%,0.00%,0.00%,1.92%,3.3,0.0,1.8,3.2,0.0,0.0,0.0,0.0,0.0,6.4,10.0,6.3,0.1,0.0,0.0,0.0,8.8,4.6,5.1,0.0,0.0,0.0,9.4,0.8,5.1,9.7,47.82%,5.3,8.2,7.1,0.15%,0.3,4.5,0.0,0.00%,0.0,0.0,10.0,12.50%,8.2,9.3,6.7,9.9,68.0%,6.8,8.8,8.9,12.93%,1.4,6.5,9.4,31.15%,3.1,7.4,9.5,32.03%,3.2,7.5,7.7,10.0,8.1,9.2,9.1,6.8,9.4,2.3,6.8,6.3,7.2,7.1,6.5,6.5,5.9,8.3,0.01%,8.9,6.0,7.5,7.4,7.3,3.7,10.0,9.6,9.8,,
Fiji,FJI,3.9,0.1,2.2,0.0,5.3,7.1,7.6,7.4,6.0,7.4,0.13%,0.00%,0.0000%,0.00%,7.36%,0.63%,0.86%,1.00%,6.4,0.0,3.9,0.0,8.4,8.2,3.2,6.3,7.9,3.3,1.9,5.2,0.1,7.7,5.4,6.7,5.7,3.1,0.0,7.1,6.9,7.1,3.8,1.7,2.8,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,6.8,61.09%,6.8,6.8,6.7,54.44%,5.4,6.1,7.0,85.81%,8.6,7.9,5.8,0.8,0.8,1.3,1.0,5.7,3.1,5.9,6.4,5.3,3.9,1.0,2.5,4.1,0.0,0.7,0.02%,7.6,x,7.6,4.1,3.7,4.9,0.0,0.0,0.0,,
Finland,FIN,0.1,0.1,0.1,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.00%,0.00%,0.6505%,0.00%,0.00%,0.00%,0.09%,0.00%,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,6.2,0.0,0.0,5.3,0.0,3.3,1.7,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.1,0.0,x,0.1,4.2,1.2,8.6,0.2,3.6,2.4,0.0,0.0,2.4,0.0,0.0,0.02%,8.5,0.0,4.3,2.2,1.2,2.5,0.0,0.0,0.0,,
France,FRA,7.2,0.1,4.5,8.0,3.4,0.0,0.0,0.0,8.5,0.0,0.03%,0.00%,0.6780%,0.00%,0.00%,0.00%,0.15%,0.00%,1.3,0.0,0.7,6.9,1.6,0.0,0.0,0.0,5.8,0.0,3.8,4.3,0.1,0.0,0.0,0.0,0.0,2.8,7.5,2.5,0.0,7.4,1.9,1.7,1.8,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,4.0,0.01%,0.0,2.2,0.6,0.2,0.0,x,0.1,7.0,1.2,8.2,0.6,4.3,2.9,0.0,0.0,2.8,0.0,0.1,0.03%,6.7,2.0,4.4,2.4,1.6,4.0,2.6,4.8,3.8,,
Gabon,GAB,0.1,0.1,0.1,4.5,0.0,0.0,0.0,0.0,4.9,0.0,0.00%,0.00%,0.5413%,0.00%,0.00%,0.00%,0.10%,0.00%,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,5.6,0.0,0.0,5.1,0.0,1.7,0.9,7.4,57.14%,6.3,6.9,8.0,24.10%,10.0,9.3,0.0,0.00%,0.0,0.0,7.7,16.39%,8.4,8.1,7.1,7.7,100.0%,10.0,9.2,7.6,86.09%,9.6,8.8,7.6,85.80%,8.6,8.1,7.7,93.28%,9.3,8.6,8.7,5.6,2.2,x,3.9,3.2,4.6,9.1,5.2,5.5,5.0,4.3,5.4,5.3,0.7,2.8,0.00%,9.7,8.0,8.9,5.7,6.9,3.2,0.1,0.0,0.1,,
Gambia,GMB,0.1,0.1,0.1,3.9,0.4,0.0,0.0,0.0,2.6,7.9,0.00%,0.00%,0.2528%,0.00%,0.00%,0.00%,0.01%,0.49%,0.0,0.0,0.0,5.2,1.7,0.0,0.0,0.0,2.3,1.6,2.9,0.1,0.1,0.0,0.0,0.0,5.6,0.1,4.6,1.1,0.0,2.5,4.3,1.7,3.0,7.3,44.33%,4.9,6.2,0.0,0.00%,0.0,0.0,3.5,0.04%,0.0,1.9,0.0,0.00%,0.0,0.0,2.5,7.8,100.0%,10.0,9.2,6.7,17.53%,1.9,4.7,7.8,96.12%,9.6,8.9,7.8,96.41%,9.6,8.9,8.3,5.8,2.4,8.7,5.6,8.1,6.8,6.4,10.0,7.8,7.1,4.1,6.0,6.9,0.0,4.2,0.01%,8.9,8.0,8.5,6.5,6.5,2.9,0.0,0.0,0.0,,
Georgia,GEO,6.2,6.1,6.2,5.2,0.0,0.0,0.0,0.0,5.9,8.2,0.21%,0.05%,0.6928%,0.00%,0.00%,0.00%,0.19%,0.53%,10.0,2.3,8.0,6.9,0.0,0.0,0.0,0.0,6.0,1.8,1.0,8.1,4.2,0.0,0.0,0.0,5.9,7.2,6.1,0.0,0.0,6.0,3.5,6.7,5.1,7.8,79.45%,8.8,8.3,x,x,x,x,x,x,x,x,x,x,x,x,8.3,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,5.2,1.14%,0.1,3.0,7.0,19.81%,2.0,5.0,2.3,1.5,0.8,0.8,1.0,6.0,4.0,6.1,3.6,4.9,3.6,0.8,0.7,3.5,0.0,0.8,0.05%,5.4,6.0,5.7,3.3,4.9,4.7,0.2,0.0,0.1,,
Germany,DEU,7.4,3.4,5.8,8.4,0.0,0.0,0.0,0.0,9.1,0.0,0.03%,0.00%,0.7548%,0.00%,0.00%,0.00%,0.21%,0.00%,1.3,0.0,0.7,7.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,4.4,1.7,0.0,0.0,0.0,0.0,3.7,7.8,0.0,0.0,8.0,0.0,2.5,1.3,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.1,0.0,x,0.1,7.9,1.9,7.8,0.4,4.5,3.0,0.0,0.0,3.0,0.0,0.0,0.01%,9.1,2.0,5.6,2.9,1.6,4.0,0.1,0.0,0.1,,
Ghana,GHA,0.1,0.1,0.1,5.5,2.3,0.0,0.0,0.0,5.5,0.0,0.00%,0.00%,0.1011%,0.00%,0.00%,0.00%,0.01%,0.00%,0.0,0.0,0.0,3.7,1.0,0.0,0.0,0.0,2.8,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,4.7,1.7,0.0,4.3,0.0,2.5,1.3,8.9,48.29%,5.4,7.6,8.0,1.77%,3.5,6.2,10.0,34.84%,10.0,10.0,7.4,0.83%,5.8,6.7,8.1,9.3,100.0%,10.0,9.7,9.1,70.58%,7.8,8.5,9.3,88.90%,8.9,9.1,9.3,98.88%,9.9,9.6,9.3,7.9,1.9,5.8,5.2,7.2,5.9,5.9,4.6,5.9,5.7,3.7,4.9,5.4,5.7,5.3,0.00%,9.7,6.0,7.9,6.2,7.6,3.3,3.2,3.4,3.3,,
Greece,GRC,7.4,8.0,7.7,4.1,6.9,0.0,0.0,0.0,5.6,0.0,0.20%,0.10%,0.0893%,0.00%,0.00%,0.00%,0.05%,0.00%,10.0,4.9,8.5,3.5,7.5,0.0,0.0,0.0,4.4,0.0,1.0,8.7,6.5,0.0,0.0,0.0,0.0,8.1,3.8,7.2,0.0,5.0,0.5,3.3,1.9,8.4,71.27%,7.9,8.2,x,x,x,x,x,x,x,x,x,x,x,x,8.2,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,8.0,41.87%,4.2,6.5,6.3,2.38%,0.2,3.9,3.1,0.1,0.0,x,0.1,6.4,0.0,8.1,1.4,4.0,2.7,x,0.0,3.2,0.0,0.0,0.01%,9.1,2.0,5.6,2.9,4.8,4.9,0.1,0.0,0.1,,
Grenada,GRD,1.7,0.1,0.9,0.0,0.0,5.1,6.2,5.7,0.8,0.0,0.16%,0.00%,0.0000%,0.00%,7.39%,0.65%,0.04%,0.00%,8.1,0.0,5.3,0.0,0.0,8.2,3.2,6.3,3.9,0.0,1.0,4.9,0.1,6.7,4.7,5.8,0.0,3.4,0.0,0.0,6.0,2.5,0.5,x,0.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,5.4,47.88%,5.3,5.4,5.8,88.90%,8.9,7.7,5.7,73.78%,7.4,6.6,5.5,0.9,0.7,x,0.8,8.5,2.2,3.7,x,4.8,3.5,x,0.6,3.8,1.2,0.9,x,x,x,x,2.4,3.9,2.6,0.0,0.0,0.0,,
Guatemala,GTM,8.2,9.5,8.9,4.8,6.8,5.9,6.2,6.1,4.7,10.0,0.21%,0.20%,0.0957%,0.00%,0.11%,0.00%,0.01%,0.88%,10.0,10.0,10.0,3.6,6.7,0.1,0.0,0.1,2.5,2.9,5.7,9.1,9.8,3.0,3.1,3.1,8.1,9.5,4.2,6.8,3.7,3.7,6.9,0.0,3.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.8,75.5%,7.5,8.2,8.3,37.25%,4.1,6.7,8.5,51.80%,5.2,7.2,8.5,46.85%,4.7,7.0,7.3,3.4,0.9,2.3,2.2,7.3,4.4,5.3,7.0,6.0,4.7,4.2,3.4,5.3,0.4,1.8,0.00%,9.7,4.0,6.9,4.7,5.7,5.9,0.6,0.0,0.3,,
Guinea,GIN,0.1,0.1,0.1,5.6,2.8,0.0,0.0,0.0,5.6,0.0,0.00%,0.00%,0.2741%,0.00%,0.00%,0.00%,0.04%,0.00%,0.0,0.0,0.0,5.3,2.6,0.0,0.0,0.0,4.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,5.5,2.7,0.0,4.9,0.5,0.8,0.7,8.0,27.48%,3.1,6.1,8.7,11.76%,10.0,9.5,9.8,53.74%,10.0,9.9,8.4,7.92%,7.8,8.1,8.8,8.8,100.0%,10.0,9.5,8.6,70.46%,7.8,8.2,8.8,93.24%,9.3,9.1,8.8,98.75%,9.9,9.4,9.1,7.6,4.8,7.9,6.8,5.8,6.9,3.8,10.0,6.6,6.7,4.9,6.7,6.4,2.4,5.7,x,x,6.0,6.0,6.0,7.9,3.7,1.4,0.0,0.7,,
Guinea-Bissau,GNB,0.1,0.1,0.1,2.4,0.0,0.0,0.0,0.0,2.1,6.4,0.00%,0.00%,0.0710%,0.00%,0.00%,0.00%,0.01%,0.17%,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,2.0,0.6,1.9,0.1,0.1,0.0,0.0,0.0,4.1,0.1,2.8,0.0,0.0,2.1,3.0,0.8,1.9,6.5,16.53%,1.8,4.6,0.0,0.00%,0.0,0.0,8.6,69.43%,10.0,9.4,0.0,0.00%,0.0,0.0,5.0,7.6,100.0%,10.0,9.1,7.5,81.65%,9.1,8.4,7.6,96.50%,9.6,8.8,7.6,97.23%,9.7,8.9,8.8,8.0,6.4,8.0,7.5,6.2,6.1,4.5,10.0,6.7,7.0,6.6,5.8,6.5,2.8,6.3,0.00%,9.6,6.0,7.8,6.9,7.2,2.4,0.1,0.0,0.1,,
Guyana,GUY,0.1,0.1,0.1,4.6,1.0,0.0,0.0,0.0,5.8,8.1,0.00%,0.00%,1.7389%,0.00%,0.01%,0.00%,0.83%,2.12%,0.0,0.0,0.0,8.4,3.8,0.0,0.0,0.0,7.9,7.1,1.9,0.1,0.1,0.0,0.0,0.0,7.6,0.1,6.9,2.5,0.0,7.0,4.8,2.5,3.7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.0,100.0%,10.0,9.0,6.9,79.49%,8.8,8.0,7.0,96.75%,9.7,8.7,7.0,89.69%,9.0,8.2,8.5,1.0,0.7,1.7,1.1,2.0,2.3,2.7,3.8,2.7,2.2,1.3,3.3,2.6,0.1,0.9,0.01%,9.2,0.0,4.6,2.7,5.3,4.2,0.1,0.0,0.1,,
Haiti,HTI,7.7,8.3,8.0,4.8,4.0,9.7,9.9,9.8,5.2,10.0,0.21%,0.11%,0.1567%,0.00%,7.50%,1.18%,0.03%,1.36%,10.0,5.7,8.7,4.4,4.1,8.3,5.9,7.3,3.8,4.5,4.8,8.9,7.0,9.0,7.9,8.5,8.4,8.4,4.6,4.1,8.9,4.5,6.6,0.8,3.7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.6,89.3%,8.9,8.8,8.6,82.94%,9.2,8.9,8.6,92.94%,9.3,9.0,8.6,90.26%,9.0,8.8,8.9,6.9,5.4,7.7,6.7,8.7,5.2,6.0,5.7,6.4,6.5,5.7,3.6,5.8,5.9,6.5,0.02%,8.3,8.0,8.2,6.8,7.6,6.5,9.3,7.5,8.6,,
Honduras,HND,7.5,8.0,7.8,5.3,6.1,7.0,7.4,7.2,4.7,9.9,0.21%,0.09%,0.2852%,0.00%,0.56%,0.04%,0.02%,0.83%,10.0,4.7,8.4,5.4,6.6,0.6,0.2,0.4,3.3,2.8,10.0,8.8,6.4,3.8,3.8,3.8,7.9,8.1,5.4,6.4,4.6,4.0,9.0,0.8,4.9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.6,90.6%,9.1,8.9,8.4,69.37%,7.7,8.1,8.5,87.76%,8.8,8.7,8.5,83.19%,8.3,8.4,8.5,1.7,0.7,1.5,1.3,6.5,5.1,6.0,4.7,5.6,4.2,x,3.7,5.2,1.4,1.3,0.04%,5.9,2.0,4.0,3.5,6.0,5.8,6.2,5.9,6.1,,
Hungary,HUN,4.9,0.1,2.8,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.03%,0.00%,1.2119%,0.00%,0.00%,0.00%,0.00%,0.00%,1.3,0.0,0.7,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.1,0.1,0.0,0.0,0.0,0.0,1.8,7.3,0.0,0.0,0.0,1.0,5.0,3.0,8.5,87.67%,9.7,9.2,x,x,x,x,x,x,x,x,x,x,x,x,9.2,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.2,0.0,x,0.1,6.8,0.0,7.3,1.5,3.9,2.6,x,0.0,3.1,0.0,0.1,0.02%,8.2,2.0,5.1,2.8,4.9,2.9,0.1,0.0,0.1,,
Iceland,ISL,2.9,4.6,3.8,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.15%,0.12%,0.0000%,0.00%,0.00%,0.00%,0.71%,0.00%,7.3,6.0,6.7,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,5.1,5.3,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,6.5,0.0,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.1,0.0,x,0.1,1.9,6.1,9.4,x,5.8,3.9,0.0,0.6,3.6,0.0,0.0,0.02%,8.5,x,8.5,4.0,2.8,2.6,0.0,0.0,0.0,,
India,IND,10.0,10.0,10.0,10.0,9.4,10.0,10.0,10.0,9.7,10.0,0.12%,0.02%,1.1595%,0.00%,0.53%,0.06%,0.02%,1.37%,6.1,0.9,4.0,7.7,4.8,0.6,0.3,0.5,3.3,4.6,6.7,8.1,5.5,5.3,5.2,5.3,8.4,8.3,9.2,7.8,7.7,7.8,7.6,5.0,6.3,10.0,28.14%,3.1,8.1,x,x,x,x,x,x,x,x,x,x,x,x,8.1,10.0,93.4%,9.3,9.7,10.0,35.29%,3.9,8.3,10.0,97.59%,9.8,9.9,10.0,97.50%,9.8,9.9,9.6,2.4,1.1,2.4,2.0,8.9,4.3,3.6,6.0,5.7,4.5,4.6,1.9,4.9,3.7,2.4,0.01%,8.7,4.0,6.4,4.6,7.4,7.9,10.0,7.4,9.1,,
