COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Czech Republic,CZE,1.8,Very Low,173,3.6,0.9,1.6,0.5,5.7,0,0,0,1.3,1.8,0.1,0.1,0,3.4,0.4,0.1,0.9,0.3,5.5,8.2,0.1,0.2,0,1,0.3,2,3.1,2.5,3.6,0.7,1.7,0,0.3,11,22%,,0.12
Denmark,DNK,1.5,Very Low,183,2.7,1.2,2.2,0.1,0,0,0,7.1,3.2,1.7,0.1,0.1,0,2.2,0.2,0,0.5,0.1,3.8,6.2,0.1,0.3,0,0.6,0.3,1.2,1.9,2.7,1,0.5,1.3,0,0.2,10,20%,,0
Djibouti,DJI,4.4,Medium,51,4.1,2.6,4.5,5.4,0,4.9,0,4.3,7.9,5.5,0.2,0.3,0,5.2,5.5,7.7,4.1,2.5,4.9,6.1,2,3.8,4.2,3.6,3.4,6.1,6.2,5.5,6.8,6,4.8,5.8,7.3,6,12%,,0.47
Dominica,DMA,2.9,Low,115,6.7,2.1,3.8,3.8,0,5.5,7.8,2,0,4,0,0,0,2.8,4.3,3.2,x,6.5,0.9,0,0.2,2.5,0,4,1.8,4,4.8,x,4.8,3,2.6,1,5.4,20,39%,,0.51
Dominican Republic,DOM,4.1,Medium,65,1.7,4.1,6.6,9.2,2.2,5.1,10,4.8,0.4,5.9,0.1,0.2,0,4,3,3.1,4.4,1.5,4.8,6.4,1.4,1.6,5.8,1.1,2.7,4.1,5.2,4.6,5.8,2.9,2.1,2,4.7,4,8%,,0.12
Ecuador,ECU,4.7,Medium,47,2.6,5.7,6.4,9.5,6.5,9,0,4.9,3.4,5.1,5,5.5,4.4,4.6,3,3,5,0.8,5.9,8.2,0.4,1.1,1.6,4.2,1.9,4,4.6,3,6.1,3.3,2.4,3.1,4.4,4,8%,,0.29
Egypt,EGY,4.6,Medium,48,2.4,5.5,6.2,4.6,9.9,5.9,0,9,2.1,3.1,4.7,6.5,2.2,3.9,3.4,4.1,3.5,1.7,4.4,6.7,0.2,1.5,0,1.8,0.9,4.4,5.2,4.2,6.2,3.6,3.3,3.3,4.2,1,2%,,0.4
El Salvador,SLV,4.2,Medium,61,3.5,3.5,5.6,9.2,3.5,7.6,1.3,4.3,3.6,5.4,0.5,0.9,0,4.8,4.7,5.1,4.2,4.3,4.9,7.3,1,1,0.1,2.2,1.1,4.3,5.8,5.2,6.3,2.5,1.7,2.1,3.8,4,8%,,0.46
Equatorial Guinea,GNQ,3,Low,109,4.9,1.3,2.3,0.1,2,0,0,2,2.9,6.7,0.1,0.2,0,2.9,3.4,5,x,0.1,2.3,0,6.3,3.4,0,5.5,4.2,7.2,8,x,8,6.3,5.1,6.6,7.2,10,20%,,0.42
Eritrea,ERI,4.1,Medium,65,5.3,2.1,3.5,3.5,1.3,0,0,4,6.6,6,0.4,0.8,0,4.1,5.6,8.1,x,0.7,2.1,0,0.9,5.8,0,6.3,3.8,7.8,8.2,x,8.2,7.3,6.1,9.7,6.1,10,20%,,0.49
Estonia,EST,1.6,Very Low,180,3.9,0.8,1.5,0.1,5.4,0,0,2.1,0,1.4,0.1,0.1,0,3.4,0.4,0,1.5,0.2,5.6,8.2,0.4,0.1,0,1.3,0.5,1.5,2.4,x,2.4,0.6,0.8,0,1.1,9,18%,,0.28
Eswatini,SWZ,3.3,Medium,96,2.9,1.6,1.8,0.1,1.8,0,0.2,0,4.9,3.8,1.3,1.2,1.4,4.3,5.5,6.5,7,2,2.9,2.8,4.6,2.6,0,3.9,2.9,5.1,5.6,4.4,6.7,4.5,3,5.1,5.4,0,0%,,0.54
Ethiopia,ETH,7.1,Very High,13,1.8,8,3.7,4.6,5.1,0,0,0,5.1,7.3,9.8,10,9.6,6.6,6,8.9,4.6,1.6,7.1,8.7,2.7,4.2,4.9,5.4,4.4,6.7,4.7,2.9,6.4,8.1,7.1,9.7,7.4,0,0%,YES,0.27
Fiji,FJI,3.1,Low,103,3,2.8,4.9,3.1,0,7.1,6.9,7.1,2.8,3.7,0,0,0,3.7,3.8,3.1,2.9,6,3.6,0,4.1,1.6,10,2.3,6.1,2.8,2.2,0.1,4.3,3.3,2.3,3.3,4.4,6,12%,,0.25
Finland,FIN,1.6,Very Low,180,3.9,1.3,2.5,0.1,6.2,0,0,5.3,1.7,1.2,0,0,0,2.4,0.2,0,0.6,0.1,4.2,6.6,0.1,0.2,0,1.4,0.4,1.3,1.8,2.2,1.4,0.8,1.5,0.5,0.4,11,22%,,0.17
France,FRA,2.9,Low,115,2.9,3.9,4,2.8,7.5,2.5,0,7.4,1.8,1.6,3.8,2.6,4.8,3.1,0.4,0,1.4,0.2,5.1,7.7,0.3,0.3,0.4,0.4,0.4,2,2.9,2.9,2.8,0.9,1.9,0.1,0.7,9,18%,,0.1
Gabon,GAB,3.4,Medium,92,3.5,1.8,3.2,0.1,5.6,0,0,5.1,0.9,6.9,0.1,0.1,0,3.5,4.3,5.6,5.2,0.8,2.5,1,6.1,2.1,0.1,4.9,3.7,6,6.8,6.7,6.9,5.1,2.6,6,6.6,3,6%,,0.51
Gambia,GMB,3.7,Medium,79,0.6,1.6,2.9,0.1,4.6,1.1,0,2.5,3,6.5,0,0,0,5.7,7.3,8.3,5.6,7,3.5,3.8,2.5,3.1,0.2,5.6,3.1,5.4,4.7,3,6.3,6,5.6,4.9,7.5,0,0%,,0.11
Georgia,GEO,3.5,Medium,89,1.5,2.7,4.7,7.2,6.1,0,0,6,5.1,4.9,0.1,0.2,0,4.9,2.3,1.1,3.1,4,6.8,9.1,0.5,0.6,4.7,1.6,2,3.2,4.5,4.7,4.2,1.6,1.1,1.4,2.2,3,6%,,0.13
