,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HFA Scores,DRR,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Adult literacy rate,Access to electricity,Internet users,Mobile cellular subscriptions,Communication,Road density,Road density,Sanitation,Drinking water,Physical Connectivity,Physicians Density,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),Immunization coverage,per capita public and private expenditure on health care,Maternal Mortality ratio,Access to health care Index,INFORM Infrastructure,
Côte d'Ivoire,CIV,7.8,7.8,6.0,5.7,5.9,6.9,2.1,3.0,6.5,1.3,3.2,10.1,9.1,7.0,5.4,7.2,9.6,3.9,10.0,6.4,6.8,9.5,5.3,7.8,6.1,
Croatia,HRV,4.4,4.4,5.0,3.8,4.4,4.4,0.1,0.0,1.8,4.6,1.6,148.3,0.0,0.4,0.1,0.2,1.3,1.2,1.5,1.5,1.4,1.0,0.1,1.0,0.9,
Cuba,CUB,2.5,2.5,5.8,5.7,5.8,4.2,0.1,0.0,2.9,6.8,2.5,62.9,3.7,0.9,1.1,1.9,0.0,0.0,0.0,x,0.0,0.0,0.4,0.1,1.5,
Cyprus,CYP,x,x,4.7,3.5,4.1,4.1,0.1,0.0,1.0,2.6,0.9,205.6,0.0,0.1,0.0,0.0,0.0,0.5,1.9,3.1,1.8,0.0,0.8,0.7,0.5,
Czech Republic,CZE,2.5,2.5,4.3,2.8,3.6,3.1,x,0.0,1.5,3.7,1.7,271.9,0.0,0.1,0.0,0.0,0.0,0.8,1.5,x,1.2,0.0,0.0,0.3,0.7,
Denmark,DNK,2.7,2.7,1.0,1.0,1.0,1.9,x,0.0,0.2,3.8,1.3,353.5,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.5,0.5,0.0,0.1,0.2,0.5,
Djibouti,DJI,5.5,5.5,7.0,6.6,6.8,6.2,x,3.5,3.1,7.9,4.8,11.2,9.0,3.7,4.8,5.8,9.5,6.8,8.6,6.8,7.4,9.7,2.6,7.3,6.0,
Dominica,DMA,x,x,4.4,5.2,4.8,4.8,x,0.0,1.9,5.9,2.6,133.3,0.0,2.2,0.9,1.0,7.2,1.2,1.7,x,1.5,7.6,x,5.4,3.0,
Dominican Republic,DOM,4.6,4.6,6.5,5.1,5.8,5.2,1.0,0.2,1.5,5.6,2.1,60.0,4.0,1.3,0.6,2.0,6.4,1.9,6.8,4.4,4.4,6.8,1.2,4.7,2.9,
Ecuador,ECU,3.0,3.0,6.6,5.6,6.1,4.6,1.3,0.0,3.0,5.3,2.4,25.0,7.6,0.9,0.9,3.1,4.4,4.9,6.6,4.7,5.4,6.9,0.7,4.4,3.3,
Egypt,EGY,4.2,4.2,6.5,5.9,6.2,5.2,4.9,0.0,2.8,5.5,3.3,8.3,9.3,0.3,0.2,3.3,8.2,0.3,0.5,x,0.4,8.1,0.2,4.2,3.6,
El Salvador,SLV,5.2,5.2,6.9,5.6,6.3,5.8,2.1,0.0,3.7,0.9,1.7,53.1,4.7,1.4,0.3,2.1,2.7,4.1,6.9,4.4,5.1,6.9,0.5,3.8,2.5,
Equatorial Guinea,GNQ,x,x,8.3,7.6,8.0,8.0,x,3.3,4.6,7.5,5.1,11.4,8.9,3.7,7.1,6.6,9.1,7.8,10.0,x,8.9,8.3,2.4,7.2,6.3,
Eritrea,ERI,x,x,7.9,8.5,8.2,8.2,4.5,4.5,7.8,7.7,6.1,4.7,9.6,9.8,9.6,9.7,9.8,0.7,2.4,0.7,1.3,9.9,3.6,6.1,7.3,
Estonia,EST,x,x,2.4,2.3,2.4,2.4,0.0,0.0,0.9,2.3,0.8,125.0,0.0,0.1,0.0,0.0,0.3,2.4,5.3,x,3.9,0.0,0.1,1.1,0.6,
Eswatini,SWZ,4.4,4.4,7.0,6.4,6.7,5.6,2.2,1.8,4.1,4.0,3.0,41.9,5.9,4.0,5.3,5.1,9.7,0.3,3.7,0.5,1.5,7.8,2.7,5.4,4.5,
Ethiopia,ETH,2.9,2.9,6.3,6.5,6.4,4.7,8.0,4.5,8.3,7.4,7.1,8.4,9.3,10.0,9.7,9.7,9.7,5.8,8.6,6.4,6.9,9.9,3.0,7.4,8.1,
Fiji,FJI,0.1,0.1,4.8,3.8,4.3,2.2,x,0.8,1.2,4.8,2.3,18.6,8.2,0.8,0.9,3.3,8.0,0.0,3.6,0.0,1.2,8.1,0.4,4.4,3.3,
Finland,FIN,2.2,2.2,1.3,1.5,1.4,1.8,x,0.0,0.7,3.7,1.5,85.6,1.5,0.1,0.0,0.5,0.0,1.4,1.2,2.0,1.5,0.0,0.1,0.4,0.8,
France,FRA,2.9,2.9,2.9,2.7,2.8,2.9,x,0.0,1.5,4.2,1.9,255.6,0.0,0.2,0.0,0.1,1.7,0.5,1.5,0.7,0.9,0.0,0.1,0.7,0.9,
Gabon,GAB,6.7,6.7,7.2,6.5,6.9,6.8,2.9,0.7,2.8,3.8,2.6,1.7,9.9,5.6,2.6,6.0,8.5,6.6,x,x,6.6,8.8,2.5,6.6,5.1,
Gambia,GMB,3.0,3.0,6.3,6.3,6.3,4.7,7.2,3.5,6.7,5.1,5.6,41.5,5.9,5.8,2.9,4.9,9.8,3.4,8.0,4.1,5.2,9.9,5.1,7.5,6.0,
Georgia,GEO,4.7,4.7,4.7,3.7,4.2,4.5,0.1,0.0,2.1,2.3,1.1,82.0,1.8,1.5,1.0,1.4,0.0,2.4,3.6,3.4,3.1,5.2,0.3,2.2,1.6,
Germany,DEU,2.7,2.7,2.2,2.4,2.3,2.5,x,0.0,0.8,3.8,1.5,516.4,0.0,0.1,0.0,0.0,0.0,1.4,1.0,2.9,1.8,0.0,0.0,0.4,0.6,
Ghana,GHA,3.4,3.4,5.7,5.1,5.4,4.4,3.9,1.5,3.2,4.1,3.2,18.5,8.2,7.9,2.3,6.1,9.6,0.0,2.5,0.0,0.8,9.3,2.9,5.7,5.0,
Greece,GRC,2.3,2.3,5.1,4.1,4.6,3.5,x,0.0,1.7,4.7,2.1,131.9,0.0,0.1,0.0,0.0,0.0,0.0,2.7,0.5,1.1,0.5,0.1,0.4,0.8,
Grenada,GRD,4.7,4.7,4.7,4.9,4.8,4.8,x,0.6,2.2,6.1,3.0,232.4,0.0,0.9,0.9,0.6,6.7,3.7,5.3,x,4.5,7.3,0.2,4.7,2.8,
