Year (2020-2099),month,"Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Precipitation 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1"
2028,APR,18.11,20.62,19.43,20.39,24.03,26.52,25.33,26.73,15.06,48.41,21.42,4.16
2028,MAY,17.97,19.91,22.98,21.52,23.06,25.24,28.69,27.78,43.68,37.89,31.97,6.94
2028,JUN,25.59,21.75,25.36,27.4,32.13,27.49,31.25,33.59,3.83,13.01,7.63,11.12
2028,JUL,28.51,28.41,28.71,29.39,34.96,34.84,35.3,35.94,1.57,4.56,1.54,2.01
2028,AUG,29.27,27.4,29.68,29.07,35.86,34.07,35.75,35.31,1.31,1.08,4.89,4.02
2028,SEP,24.96,26.02,25.92,24.01,30.92,31.99,31.35,29.27,8.68,11.89,23.16,21.43
2028,OCT,22.29,19.86,22.47,20.47,27.77,24.28,27.66,25.49,24.45,63.41,21.02,38.2
2028,NOV,16.52,14.74,16.04,15.29,21.48,19.06,21.03,20.56,38.12,48.53,27.92,16.17
2028,DEC,13.69,11.28,13.43,11.45,19.64,15.96,18.97,16.29,12.9,25.04,4.94,33.79
2029,JAN,10.83,10.82,12.41,9.77,16.36,16.39,17.57,13.46,10.29,5.38,41.44,69.8
2029,FEB,15.57,14.18,13.4,12.87,21.49,20.3,19.46,16.8,28.88,5.28,2.09,117.83
2029,MAR,15.81,13.97,15.83,12.08,21.61,19.14,21.1,16.58,18.62,42.54,33.96,48.08
2029,APR,18.02,18.59,14.89,19.04,24.39,24.06,19.78,24.78,15.02,41.82,64.74,25.69
2029,MAY,22.33,21.05,20.44,23.76,28.89,26.76,26.65,29.79,11.45,40.76,8.74,19.64
2029,JUN,24.8,25.48,23.02,27.88,30.95,31.74,29.43,34.15,9.14,13.84,2.45,17.43
2029,JUL,29.22,29.42,27.84,29.75,36,36.09,34.97,36.26,1.61,2.15,0.24,2.6
2029,AUG,28.33,28.81,27.78,29.35,34.77,35.34,34.55,35.64,2.72,2.16,1.23,5.51
2029,SEP,25.79,25.4,25.98,25.79,31.84,31.44,32.26,31.51,10.57,8.93,3.98,17.15
2029,OCT,23.16,20.17,22.19,20.86,29.95,25.56,27.67,26.24,0.82,35.32,31.58,20.4
2029,NOV,16.41,15.27,14.48,16.62,21.76,20.13,19.13,21.59,13.1,50.28,51.5,29.38
2029,DEC,12.93,11.86,11.76,11.69,17.45,16.27,17.09,16.68,76.84,50.99,15.61,23.16
2030,JAN,12.52,9.46,12.53,11.58,18,13.64,18.2,16.08,13.93,55.22,12.11,63.99
2030,FEB,12.92,10.81,11.66,13.64,18.66,15.02,16.04,19.64,7.46,70.98,77.81,13.39
